"","experiment","condition","trait","comparison","adj.p.value"
"362","CRISPR","cisplatin","median.TOF","N2-ECA1133",1.99197593636624e-05
"363","CRISPR","cisplatin","median.TOF","ECA1135-ECA1134",0.000628967071620856
"364","CRISPR","cisplatin","median.TOF","ECA232-ECA1134",0.222898588741418
"365","CRISPR","cisplatin","median.TOF","N2-ECA1134",2.17225553100775e-08
"366","CRISPR","cisplatin","median.TOF","ECA232-ECA1135",0.508040492439183
"367","CRISPR","cisplatin","median.TOF","N2-ECA1135",0.300909164021742
"368","CRISPR","cisplatin","median.TOF","N2-ECA232",0.000937282008715234
"369","CRISPR","bortezomib","median.EXT","ECA1114-CB4856",6.0553043024214e-08
"370","CRISPR","bortezomib","median.EXT","ECA1132-CB4856",0.0455108090836308
"371","CRISPR","bortezomib","median.EXT","ECA1133-CB4856",0.00903188607219862
"372","CRISPR","bortezomib","median.EXT","ECA1134-CB4856",0.995019382500536
"373","CRISPR","bortezomib","median.EXT","ECA1135-CB4856",0.018016756417351
"374","CRISPR","bortezomib","median.EXT","ECA232-CB4856",1.7430501486615e-13
"375","CRISPR","bortezomib","median.EXT","N2-CB4856",0.999999636864973
"376","CRISPR","bortezomib","median.EXT","ECA1132-ECA1114",1.84741111297626e-13
"377","CRISPR","bortezomib","median.EXT","ECA1133-ECA1114",1.82742709853301e-13
"378","CRISPR","bortezomib","median.EXT","ECA1134-ECA1114",1.35962295444436e-06
"379","CRISPR","bortezomib","median.EXT","ECA1135-ECA1114",1.81077375316363e-13
"380","CRISPR","bortezomib","median.EXT","ECA232-ECA1114",1.08357767203415e-13
"381","CRISPR","bortezomib","median.EXT","N2-ECA1114",7.10650102098143e-08
"382","CRISPR","bortezomib","median.EXT","ECA1133-ECA1132",0.999220336242133
"383","CRISPR","bortezomib","median.EXT","ECA1134-ECA1132",0.00294028511282551
"384","CRISPR","bortezomib","median.EXT","ECA1135-ECA1132",0.999985226287957
"385","CRISPR","bortezomib","median.EXT","ECA232-ECA1132",3.25456994687556e-10
"386","CRISPR","bortezomib","median.EXT","N2-ECA1132",0.0209953236388675
"387","CRISPR","bortezomib","median.EXT","ECA1134-ECA1133",0.000390939307782445
"388","CRISPR","bortezomib","median.EXT","ECA1135-ECA1133",0.99999633467167
"389","CRISPR","bortezomib","median.EXT","ECA232-ECA1133",1.21522930607298e-08
"390","CRISPR","bortezomib","median.EXT","N2-ECA1133",0.00354017625770287
"391","CRISPR","bortezomib","median.EXT","ECA1135-ECA1134",0.000886531498259457
"392","CRISPR","bortezomib","median.EXT","ECA232-ECA1134",1.34559030584569e-13
"393","CRISPR","bortezomib","median.EXT","N2-ECA1134",0.998999041669021
"394","CRISPR","bortezomib","median.EXT","ECA232-ECA1135",1.87394166850652e-09
"395","CRISPR","bortezomib","median.EXT","N2-ECA1135",0.00746485195774205
"396","CRISPR","bortezomib","median.EXT","N2-ECA232",1.65201186064223e-13
"397","CRISPR","carmustine","median.EXT","ECA1114-CB4856",0.909584870194811
"398","CRISPR","carmustine","median.EXT","ECA1132-CB4856",1.10800257857591e-13
"399","CRISPR","carmustine","median.EXT","ECA1133-CB4856",0.260397879747861
"400","CRISPR","carmustine","median.EXT","ECA1134-CB4856",0.421832584975752
"401","CRISPR","carmustine","median.EXT","ECA1135-CB4856",2.01949568179316e-13
"402","CRISPR","carmustine","median.EXT","ECA232-CB4856",0.230799560266638
"403","CRISPR","carmustine","median.EXT","N2-CB4856",1.6779438525294e-06
"404","CRISPR","carmustine","median.EXT","ECA1132-ECA1114",1.4388490399142e-13
"405","CRISPR","carmustine","median.EXT","ECA1133-ECA1114",0.957264419527318
"406","CRISPR","carmustine","median.EXT","ECA1134-ECA1114",0.991210708116668
"407","CRISPR","carmustine","median.EXT","ECA1135-ECA1114",3.10336201181372e-11
"408","CRISPR","carmustine","median.EXT","ECA232-ECA1114",0.939226771526783
"409","CRISPR","carmustine","median.EXT","N2-ECA1114",0.000482351028873729
"410","CRISPR","carmustine","median.EXT","ECA1133-ECA1132",1.80411241501588e-13
"411","CRISPR","carmustine","median.EXT","ECA1134-ECA1132",1.7696955012525e-13
"412","CRISPR","carmustine","median.EXT","ECA1135-ECA1132",0.0210499116783835
"413","CRISPR","carmustine","median.EXT","ECA232-ECA1132",1.86406445834564e-13
"414","CRISPR","carmustine","median.EXT","N2-ECA1132",8.51184145389539e-09
"415","CRISPR","carmustine","median.EXT","ECA1134-ECA1133",0.999996336822175
"416","CRISPR","carmustine","median.EXT","ECA1135-ECA1133",8.2055622296906e-09
"417","CRISPR","carmustine","median.EXT","ECA232-ECA1133",0.999999997501094
"418","CRISPR","carmustine","median.EXT","N2-ECA1133",0.0206065306817225
"419","CRISPR","carmustine","median.EXT","ECA1135-ECA1134",3.17887050016452e-09
"420","CRISPR","carmustine","median.EXT","ECA232-ECA1134",0.99997331920204
"421","CRISPR","carmustine","median.EXT","N2-ECA1134",0.0103371566091717
"422","CRISPR","carmustine","median.EXT","ECA232-ECA1135",1.97950051905593e-08
"423","CRISPR","carmustine","median.EXT","N2-ECA1135",0.0247545811564651
"424","CRISPR","carmustine","median.EXT","N2-ECA232",0.0303663055360633
"425","CRISPR","etoposide","median.EXT","ECA1114-CB4856",0.00624233664666984
"426","CRISPR","etoposide","median.EXT","ECA1132-CB4856",0.0972126275676403
"427","CRISPR","etoposide","median.EXT","ECA1133-CB4856",0.999975759759836
"428","CRISPR","etoposide","median.EXT","ECA1134-CB4856",0.118852952255403
"429","CRISPR","etoposide","median.EXT","ECA1135-CB4856",0.999999999249504
"430","CRISPR","etoposide","median.EXT","ECA232-CB4856",0.864576921856693
"431","CRISPR","etoposide","median.EXT","N2-CB4856",0.485726651542032
"432","CRISPR","etoposide","median.EXT","ECA1132-ECA1114",0.980714882863566
"433","CRISPR","etoposide","median.EXT","ECA1133-ECA1114",0.0187391604115061
"434","CRISPR","etoposide","median.EXT","ECA1134-ECA1114",0.969406733909231
"435","CRISPR","etoposide","median.EXT","ECA1135-ECA1114",0.0080611605878036
"436","CRISPR","etoposide","median.EXT","ECA232-ECA1114",2.14940144466214e-05
"437","CRISPR","etoposide","median.EXT","N2-ECA1114",0.620018762780634
"438","CRISPR","etoposide","median.EXT","ECA1133-ECA1132",0.209875824004122
"439","CRISPR","etoposide","median.EXT","ECA1134-ECA1132",0.999999998649557
"440","CRISPR","etoposide","median.EXT","ECA1135-ECA1132",0.116979219452539
"441","CRISPR","etoposide","median.EXT","ECA232-ECA1132",0.000986216660324279
"442","CRISPR","etoposide","median.EXT","N2-ECA1132",0.989528471923005
"443","CRISPR","etoposide","median.EXT","ECA1134-ECA1133",0.247579653749797
"444","CRISPR","etoposide","median.EXT","ECA1135-ECA1133",0.999995761048674
"445","CRISPR","etoposide","median.EXT","ECA232-ECA1133",0.673347798166615
"446","CRISPR","etoposide","median.EXT","N2-ECA1133",0.713467587620475
"447","CRISPR","etoposide","median.EXT","ECA1135-ECA1134",0.141920407434655
"448","CRISPR","etoposide","median.EXT","ECA232-ECA1134",0.00135865320616413
"449","CRISPR","etoposide","median.EXT","N2-ECA1134",0.994357968424868
"450","CRISPR","etoposide","median.EXT","ECA232-ECA1135",0.828517058025709
"451","CRISPR","etoposide","median.EXT","N2-ECA1135",0.537381847549481
"452","CRISPR","etoposide","median.EXT","N2-ECA232",0.0176429377869527
"453","CRISPR","amsacrine","median.EXT","ECA1114-CB4856",2.14752254867889e-08
"454","CRISPR","amsacrine","median.EXT","ECA1132-CB4856",8.54871728961371e-14
"455","CRISPR","amsacrine","median.EXT","ECA1133-CB4856",0.0473253202067009
"456","CRISPR","amsacrine","median.EXT","ECA1134-CB4856",0.000176786293328624
"457","CRISPR","amsacrine","median.EXT","ECA1135-CB4856",1.32005517627931e-12
"458","CRISPR","amsacrine","median.EXT","ECA232-CB4856",0.0921039378023489
"459","CRISPR","amsacrine","median.EXT","N2-CB4856",5.33351141029925e-13
"460","CRISPR","amsacrine","median.EXT","ECA1132-ECA1114",0.00757651898506162
"461","CRISPR","amsacrine","median.EXT","ECA1133-ECA1114",0.0228823829423326
"462","CRISPR","amsacrine","median.EXT","ECA1134-ECA1114",0.630162860921148
"463","CRISPR","amsacrine","median.EXT","ECA1135-ECA1114",0.613389750236256
"464","CRISPR","amsacrine","median.EXT","ECA232-ECA1114",0.00793644022280338
"465","CRISPR","amsacrine","median.EXT","N2-ECA1114",0.604448541573744
"466","CRISPR","amsacrine","median.EXT","ECA1133-ECA1132",2.77745937360407e-09
"467","CRISPR","amsacrine","median.EXT","ECA1134-ECA1132",6.61216337294324e-06
"468","CRISPR","amsacrine","median.EXT","ECA1135-ECA1132",0.590599854378382
"469","CRISPR","amsacrine","median.EXT","ECA232-ECA1132",3.73247432960966e-10
"470","CRISPR","amsacrine","median.EXT","N2-ECA1132",0.540440641947795
"471","CRISPR","amsacrine","median.EXT","ECA1134-ECA1133",0.788384304607567
"472","CRISPR","amsacrine","median.EXT","ECA1135-ECA1133",2.76058202935969e-05
"473","CRISPR","amsacrine","median.EXT","ECA232-ECA1133",0.999992778977524
"474","CRISPR","amsacrine","median.EXT","N2-ECA1133",1.84179729086908e-05
"475","CRISPR","amsacrine","median.EXT","ECA1135-ECA1134",0.0114774018519207
"476","CRISPR","amsacrine","median.EXT","ECA232-ECA1134",0.598335954474543
"477","CRISPR","amsacrine","median.EXT","N2-ECA1134",0.0096091821676807
"478","CRISPR","amsacrine","median.EXT","ECA232-ECA1135",5.69892227697544e-06
"479","CRISPR","amsacrine","median.EXT","N2-ECA1135",0.999999999998848
"480","CRISPR","amsacrine","median.EXT","N2-ECA232",3.54414160319561e-06
"481","CRISPR","bleomycin","median.EXT","ECA1114-CB4856",1.65090163761761e-13
"482","CRISPR","bleomycin","median.EXT","ECA1132-CB4856",1.31006316905768e-14
"483","CRISPR","bleomycin","median.EXT","ECA1133-CB4856",3.21482703347087e-07
"484","CRISPR","bleomycin","median.EXT","ECA1134-CB4856",2.16715534406831e-13
"485","CRISPR","bleomycin","median.EXT","ECA1135-CB4856",1.26565424807268e-14
"486","CRISPR","bleomycin","median.EXT","ECA232-CB4856",1.29972343998475e-09
"487","CRISPR","bleomycin","median.EXT","N2-CB4856",0.00761356981257133
"488","CRISPR","bleomycin","median.EXT","ECA1132-ECA1114",1.59823673144821e-05
"489","CRISPR","bleomycin","median.EXT","ECA1133-ECA1114",0.0327354859902843
"490","CRISPR","bleomycin","median.EXT","ECA1134-ECA1114",0.99999958647717
"491","CRISPR","bleomycin","median.EXT","ECA1135-ECA1114",1.49332915966305e-06
"492","CRISPR","bleomycin","median.EXT","ECA232-ECA1114",0.39772902610014
"493","CRISPR","bleomycin","median.EXT","N2-ECA1114",7.28455955556484e-08
"494","CRISPR","bleomycin","median.EXT","ECA1133-ECA1132",2.47546427800671e-12
"495","CRISPR","bleomycin","median.EXT","ECA1134-ECA1132",5.21487638471818e-06
"496","CRISPR","bleomycin","median.EXT","ECA1135-ECA1132",0.999854525353622
"497","CRISPR","bleomycin","median.EXT","ECA232-ECA1132",4.33292068890978e-10
"498","CRISPR","bleomycin","median.EXT","N2-ECA1132",3.50830475781549e-14
"499","CRISPR","bleomycin","median.EXT","ECA1134-ECA1133",0.04940946696924
"500","CRISPR","bleomycin","median.EXT","ECA1135-ECA1133",2.03392858111329e-13
"501","CRISPR","bleomycin","median.EXT","ECA232-ECA1133",0.944938293093668
"502","CRISPR","bleomycin","median.EXT","N2-ECA1133",0.0671712106616951
"503","CRISPR","bleomycin","median.EXT","ECA1135-ECA1134",4.34408632288275e-07
"504","CRISPR","bleomycin","median.EXT","ECA232-ECA1134",0.502397933817631
"505","CRISPR","bleomycin","median.EXT","N2-ECA1134",1.25933679262502e-07
"506","CRISPR","bleomycin","median.EXT","ECA232-ECA1135",2.27503571537113e-11
"507","CRISPR","bleomycin","median.EXT","N2-ECA1135",1.99840144432528e-14
"508","CRISPR","bleomycin","median.EXT","N2-ECA232",0.00107673169664524
"509","CRISPR","silver","median.EXT","ECA1114-CB4856",1.06460174009726e-10
"510","CRISPR","silver","median.EXT","ECA1132-CB4856",0.997528283772699
"511","CRISPR","silver","median.EXT","ECA1133-CB4856",0.999466502930115
"512","CRISPR","silver","median.EXT","ECA1134-CB4856",0.993690352968086
"513","CRISPR","silver","median.EXT","ECA1135-CB4856",0.958331385226385
"514","CRISPR","silver","median.EXT","ECA232-CB4856",0.0985972292095066
"515","CRISPR","silver","median.EXT","N2-CB4856",0.999997268569628
"516","CRISPR","silver","median.EXT","ECA1132-ECA1114",8.35997937542743e-13
"517","CRISPR","silver","median.EXT","ECA1133-ECA1114",3.6427527660976e-12
"518","CRISPR","silver","median.EXT","ECA1134-ECA1114",1.63413726994577e-12
"519","CRISPR","silver","median.EXT","ECA1135-ECA1114",3.56275009494311e-11
"520","CRISPR","silver","median.EXT","ECA232-ECA1114",3.41071483167532e-07
"521","CRISPR","silver","median.EXT","N2-ECA1114",1.29896093881143e-13
"522","CRISPR","silver","median.EXT","ECA1133-ECA1132",0.999999929256049
"523","CRISPR","silver","median.EXT","ECA1134-ECA1132",0.999999952246532
"524","CRISPR","silver","median.EXT","ECA1135-ECA1132",0.999516720311818
"525","CRISPR","silver","median.EXT","ECA232-ECA1132",0.139283229142611
"526","CRISPR","silver","median.EXT","N2-ECA1132",0.999443916055639
"527","CRISPR","silver","median.EXT","ECA1134-ECA1133",0.999994063469094
"528","CRISPR","silver","median.EXT","ECA1135-ECA1133",0.998261492820175
"529","CRISPR","silver","median.EXT","ECA232-ECA1133",0.139864525062417
"530","CRISPR","silver","median.EXT","N2-ECA1133",0.999959621079511
"531","CRISPR","silver","median.EXT","ECA1135-ECA1134",0.999931833192303
"532","CRISPR","silver","median.EXT","ECA232-ECA1134",0.18911090426402
"533","CRISPR","silver","median.EXT","N2-ECA1134",0.997587654463521
"534","CRISPR","silver","median.EXT","ECA232-ECA1135",0.43596515372019
"535","CRISPR","silver","median.EXT","N2-ECA1135",0.966350881252078
"536","CRISPR","silver","median.EXT","N2-ECA232",0.033663042270795
"537","CRISPR","puromycin","median.EXT","ECA1114-CB4856",0.00162031979717647
"538","CRISPR","puromycin","median.EXT","ECA1132-CB4856",0.491499607639826
"539","CRISPR","puromycin","median.EXT","ECA1133-CB4856",0.996942873259571
"540","CRISPR","puromycin","median.EXT","ECA1134-CB4856",0.997782899628898
"541","CRISPR","puromycin","median.EXT","ECA1135-CB4856",0.0133163840812726
"542","CRISPR","puromycin","median.EXT","ECA232-CB4856",0.972967138133506
"543","CRISPR","puromycin","median.EXT","N2-CB4856",0.999434332310434
"544","CRISPR","puromycin","median.EXT","ECA1132-ECA1114",0.123557244021993
"545","CRISPR","puromycin","median.EXT","ECA1133-ECA1114",0.00457527333727437
"546","CRISPR","puromycin","median.EXT","ECA1134-ECA1114",0.00143038777303695
"547","CRISPR","puromycin","median.EXT","ECA1135-ECA1114",0.989522546599981
"548","CRISPR","puromycin","median.EXT","ECA232-ECA1114",0.00421539078482747
"549","CRISPR","puromycin","median.EXT","N2-ECA1114",0.000640667065263112
"550","CRISPR","puromycin","median.EXT","ECA1133-ECA1132",0.847760634753672
"551","CRISPR","puromycin","median.EXT","ECA1134-ECA1132",0.750870287857974
"552","CRISPR","puromycin","median.EXT","ECA1135-ECA1132",0.524762022167625
"553","CRISPR","puromycin","median.EXT","ECA232-ECA1132",0.92370070349009
"554","CRISPR","puromycin","median.EXT","N2-ECA1132",0.631083077151104
"555","CRISPR","puromycin","median.EXT","ECA1134-ECA1133",0.999999999297684
"556","CRISPR","puromycin","median.EXT","ECA1135-ECA1133",0.0400782984365907
"557","CRISPR","puromycin","median.EXT","ECA232-ECA1133",0.999988796603353
"558","CRISPR","puromycin","median.EXT","N2-ECA1133",0.999998452931046
"559","CRISPR","puromycin","median.EXT","ECA1135-ECA1134",0.0164891318298556
"560","CRISPR","puromycin","median.EXT","ECA232-ECA1134",0.999918113955509
"561","CRISPR","puromycin","median.EXT","N2-ECA1134",0.999999858050449
"562","CRISPR","puromycin","median.EXT","ECA232-ECA1135",0.043328119950466
"563","CRISPR","puromycin","median.EXT","N2-ECA1135",0.00832515619331942
"564","CRISPR","puromycin","median.EXT","N2-ECA232",0.999154197566311
"565","CRISPR","cisplatin","median.EXT","ECA1114-CB4856",1.97619698383278e-14
"566","CRISPR","cisplatin","median.EXT","ECA1132-CB4856",1.06581410364015e-14
"567","CRISPR","cisplatin","median.EXT","ECA1133-CB4856",5.67512703497641e-12
"568","CRISPR","cisplatin","median.EXT","ECA1134-CB4856",8.93729534823251e-14
"569","CRISPR","cisplatin","median.EXT","ECA1135-CB4856",1.06581410364015e-14
"570","CRISPR","cisplatin","median.EXT","ECA232-CB4856",8.14903700074865e-14
"571","CRISPR","cisplatin","median.EXT","N2-CB4856",5.72875080706581e-14
"572","CRISPR","cisplatin","median.EXT","ECA1132-ECA1114",0.399953520432864
"573","CRISPR","cisplatin","median.EXT","ECA1133-ECA1114",0.000705931092798595
"574","CRISPR","cisplatin","median.EXT","ECA1134-ECA1114",0.0152093206092965
"575","CRISPR","cisplatin","median.EXT","ECA1135-ECA1114",0.520787275454306
"576","CRISPR","cisplatin","median.EXT","ECA232-ECA1114",0.093676708025469
"577","CRISPR","cisplatin","median.EXT","N2-ECA1114",0.657128599532705
"578","CRISPR","cisplatin","median.EXT","ECA1133-ECA1132",1.04651937116174e-08
"579","CRISPR","cisplatin","median.EXT","ECA1134-ECA1132",4.71309043792445e-07
"580","CRISPR","cisplatin","median.EXT","ECA1135-ECA1132",0.999999748471261
"581","CRISPR","cisplatin","median.EXT","ECA232-ECA1132",1.00504867339701e-05
"582","CRISPR","cisplatin","median.EXT","N2-ECA1132",0.0015339468928498
"583","CRISPR","cisplatin","median.EXT","ECA1134-ECA1133",0.956143370064477
"584","CRISPR","cisplatin","median.EXT","ECA1135-ECA1133",3.45281397917674e-08
"585","CRISPR","cisplatin","median.EXT","ECA232-ECA1133",0.630959888423057
"586","CRISPR","cisplatin","median.EXT","N2-ECA1133",0.0960183725935616
"587","CRISPR","cisplatin","median.EXT","ECA1135-ECA1134",1.51265640269127e-06
"588","CRISPR","cisplatin","median.EXT","ECA232-ECA1134",0.996369214461541
"589","CRISPR","cisplatin","median.EXT","N2-ECA1134",0.596048611913223
"590","CRISPR","cisplatin","median.EXT","ECA232-ECA1135",2.92051862541554e-05
"591","CRISPR","cisplatin","median.EXT","N2-ECA1135",0.00344080104058675
"592","CRISPR","cisplatin","median.EXT","N2-ECA232",0.946097779547656
"593","CRISPR","bortezomib","median.norm.EXT","ECA1114-CB4856",5.21508864408382e-05
"594","CRISPR","bortezomib","median.norm.EXT","ECA1132-CB4856",0.701824562389859
"595","CRISPR","bortezomib","median.norm.EXT","ECA1133-CB4856",0.150937598059456
"596","CRISPR","bortezomib","median.norm.EXT","ECA1134-CB4856",0.999979312344057
"597","CRISPR","bortezomib","median.norm.EXT","ECA1135-CB4856",0.997875881095874
"598","CRISPR","bortezomib","median.norm.EXT","ECA232-CB4856",2.87113210983847e-09
"599","CRISPR","bortezomib","median.norm.EXT","N2-CB4856",0.0316219567056912
"600","CRISPR","bortezomib","median.norm.EXT","ECA1132-ECA1114",1.06702242597123e-08
"601","CRISPR","bortezomib","median.norm.EXT","ECA1133-ECA1114",5.47126788319474e-11
"602","CRISPR","bortezomib","median.norm.EXT","ECA1134-ECA1114",6.92992407480553e-06
"603","CRISPR","bortezomib","median.norm.EXT","ECA1135-ECA1114",1.883554757387e-06
"604","CRISPR","bortezomib","median.norm.EXT","ECA232-ECA1114",2.48689957516035e-14
"605","CRISPR","bortezomib","median.norm.EXT","N2-ECA1114",0.638885382434975
"606","CRISPR","bortezomib","median.norm.EXT","ECA1133-ECA1132",0.977867385540614
"607","CRISPR","bortezomib","median.norm.EXT","ECA1134-ECA1132",0.86283122556625
"608","CRISPR","bortezomib","median.norm.EXT","ECA1135-ECA1132",0.969067801805482
"609","CRISPR","bortezomib","median.norm.EXT","ECA232-ECA1132",9.00750857257826e-06
"610","CRISPR","bortezomib","median.norm.EXT","N2-ECA1132",4.67520553359968e-05
"611","CRISPR","bortezomib","median.norm.EXT","ECA1134-ECA1133",0.264921485483391
"612","CRISPR","bortezomib","median.norm.EXT","ECA1135-ECA1133",0.484107877721835
"613","CRISPR","bortezomib","median.norm.EXT","ECA232-ECA1133",0.000572635370597152
"614","CRISPR","bortezomib","median.norm.EXT","N2-ECA1133",4.85874147471144e-07
"615","CRISPR","bortezomib","median.norm.EXT","ECA1135-ECA1134",0.999972548506096
"616","CRISPR","bortezomib","median.norm.EXT","ECA232-ECA1134",6.99734803433216e-09
"617","CRISPR","bortezomib","median.norm.EXT","N2-ECA1134",0.00858364698542879
"618","CRISPR","bortezomib","median.norm.EXT","ECA232-ECA1135",6.04043550733735e-08
"619","CRISPR","bortezomib","median.norm.EXT","N2-ECA1135",0.00302630457054676
"620","CRISPR","bortezomib","median.norm.EXT","N2-ECA232",8.75965966429249e-14
"621","CRISPR","carmustine","median.norm.EXT","ECA1114-CB4856",2.65721049275136e-07
"622","CRISPR","carmustine","median.norm.EXT","ECA1132-CB4856",0
"623","CRISPR","carmustine","median.norm.EXT","ECA1133-CB4856",1.08723141600819e-10
"624","CRISPR","carmustine","median.norm.EXT","ECA1134-CB4856",0.527579937179214
"625","CRISPR","carmustine","median.norm.EXT","ECA1135-CB4856",0
"626","CRISPR","carmustine","median.norm.EXT","ECA232-CB4856",0
"627","CRISPR","carmustine","median.norm.EXT","N2-CB4856",0
"628","CRISPR","carmustine","median.norm.EXT","ECA1132-ECA1114",0
"629","CRISPR","carmustine","median.norm.EXT","ECA1133-ECA1114",0.832580245085305
"630","CRISPR","carmustine","median.norm.EXT","ECA1134-ECA1114",0.00119393139978918
"631","CRISPR","carmustine","median.norm.EXT","ECA1135-ECA1114",1.97841742988203e-13
"632","CRISPR","carmustine","median.norm.EXT","ECA232-ECA1114",2.77667224626299e-05
"633","CRISPR","carmustine","median.norm.EXT","N2-ECA1114",0.000239198318535361
"634","CRISPR","carmustine","median.norm.EXT","ECA1133-ECA1132",1.67784675042526e-11
"635","CRISPR","carmustine","median.norm.EXT","ECA1134-ECA1132",0
"636","CRISPR","carmustine","median.norm.EXT","ECA1135-ECA1132",0.995145329669937
"637","CRISPR","carmustine","median.norm.EXT","ECA232-ECA1132",0.00134026677173493
"638","CRISPR","carmustine","median.norm.EXT","N2-ECA1132",0.000177171895124784
"639","CRISPR","carmustine","median.norm.EXT","ECA1134-ECA1133",1.93619950239476e-06
"640","CRISPR","carmustine","median.norm.EXT","ECA1135-ECA1133",1.12302556143362e-09
"641","CRISPR","carmustine","median.norm.EXT","ECA232-ECA1133",0.00883919210240713
"642","CRISPR","carmustine","median.norm.EXT","N2-ECA1133",0.0417477113970259
"643","CRISPR","carmustine","median.norm.EXT","ECA1135-ECA1134",0
"644","CRISPR","carmustine","median.norm.EXT","ECA232-ECA1134",0
"645","CRISPR","carmustine","median.norm.EXT","N2-ECA1134",3.77475828372553e-15
"646","CRISPR","carmustine","median.norm.EXT","ECA232-ECA1135",0.0181947891857857
"647","CRISPR","carmustine","median.norm.EXT","N2-ECA1135",0.00329910883304119
"648","CRISPR","carmustine","median.norm.EXT","N2-ECA232",0.999665187549925
"649","CRISPR","etoposide","median.norm.EXT","ECA1114-CB4856",0.00536192899038201
"650","CRISPR","etoposide","median.norm.EXT","ECA1132-CB4856",9.55625432119689e-08
"651","CRISPR","etoposide","median.norm.EXT","ECA1133-CB4856",0.244844117613368
"652","CRISPR","etoposide","median.norm.EXT","ECA1134-CB4856",0.981601976523816
"653","CRISPR","etoposide","median.norm.EXT","ECA1135-CB4856",4.53174584746918e-07
"654","CRISPR","etoposide","median.norm.EXT","ECA232-CB4856",0.000523777759873889
"655","CRISPR","etoposide","median.norm.EXT","N2-CB4856",3.63262841851508e-06
"656","CRISPR","etoposide","median.norm.EXT","ECA1132-ECA1114",0.223360397847347
"657","CRISPR","etoposide","median.norm.EXT","ECA1133-ECA1114",0.856007898672497
"658","CRISPR","etoposide","median.norm.EXT","ECA1134-ECA1114",0.0902917897761617
"659","CRISPR","etoposide","median.norm.EXT","ECA1135-ECA1114",0.417793205592831
"660","CRISPR","etoposide","median.norm.EXT","ECA232-ECA1114",0.999543353095639
"661","CRISPR","etoposide","median.norm.EXT","N2-ECA1114",0.669617660564087
"662","CRISPR","etoposide","median.norm.EXT","ECA1133-ECA1132",0.0036899990003777
"663","CRISPR","etoposide","median.norm.EXT","ECA1134-ECA1132",8.98079145683628e-06
"664","CRISPR","etoposide","median.norm.EXT","ECA1135-ECA1132",0.999943268273636
"665","CRISPR","etoposide","median.norm.EXT","ECA232-ECA1132",0.490909389804048
"666","CRISPR","etoposide","median.norm.EXT","N2-ECA1132",0.996072735125608
"667","CRISPR","etoposide","median.norm.EXT","ECA1134-ECA1133",0.823205725488337
"668","CRISPR","etoposide","median.norm.EXT","ECA1135-ECA1133",0.0117933319889467
"669","CRISPR","etoposide","median.norm.EXT","ECA232-ECA1133",0.511659801596356
"670","CRISPR","etoposide","median.norm.EXT","N2-ECA1133",0.040281302633981
"671","CRISPR","etoposide","median.norm.EXT","ECA1135-ECA1134",3.83171997797582e-05
"672","CRISPR","etoposide","median.norm.EXT","ECA232-ECA1134",0.0163384038040872
"673","CRISPR","etoposide","median.norm.EXT","N2-ECA1134",0.000229709044354487
"674","CRISPR","etoposide","median.norm.EXT","ECA232-ECA1135",0.733541599376121
"675","CRISPR","etoposide","median.norm.EXT","N2-ECA1135",0.999965136393444
"676","CRISPR","etoposide","median.norm.EXT","N2-ECA232",0.916130694230647
"677","CRISPR","amsacrine","median.norm.EXT","ECA1114-CB4856",2.21926810262119e-10
"678","CRISPR","amsacrine","median.norm.EXT","ECA1132-CB4856",0
"679","CRISPR","amsacrine","median.norm.EXT","ECA1133-CB4856",0.000154611423917927
"680","CRISPR","amsacrine","median.norm.EXT","ECA1134-CB4856",0.056673166619935
"681","CRISPR","amsacrine","median.norm.EXT","ECA1135-CB4856",0
"682","CRISPR","amsacrine","median.norm.EXT","ECA232-CB4856",5.26434451586510e-12
"683","CRISPR","amsacrine","median.norm.EXT","N2-CB4856",0
"684","CRISPR","amsacrine","median.norm.EXT","ECA1132-ECA1114",0.099781927556877
"685","CRISPR","amsacrine","median.norm.EXT","ECA1133-ECA1114",0.163578739245456
"686","CRISPR","amsacrine","median.norm.EXT","ECA1134-ECA1114",0.000625240245866077
"687","CRISPR","amsacrine","median.norm.EXT","ECA1135-ECA1114",0.0490491135650781
"688","CRISPR","amsacrine","median.norm.EXT","ECA232-ECA1114",0.995709190462463
"689","CRISPR","amsacrine","median.norm.EXT","N2-ECA1114",0.689602148275797
"690","CRISPR","amsacrine","median.norm.EXT","ECA1133-ECA1132",8.15200817960715e-06
"691","CRISPR","amsacrine","median.norm.EXT","ECA1134-ECA1132",9.83164549772653e-10
"692","CRISPR","amsacrine","median.norm.EXT","ECA1135-ECA1132",0.999995268137085
"693","CRISPR","amsacrine","median.norm.EXT","ECA232-ECA1132",0.452925475682612
"694","CRISPR","amsacrine","median.norm.EXT","N2-ECA1132",0.955962080351482
"695","CRISPR","amsacrine","median.norm.EXT","ECA1134-ECA1133",0.688842266217566
"696","CRISPR","amsacrine","median.norm.EXT","ECA1135-ECA1133",2.31618539092704e-06
"697","CRISPR","amsacrine","median.norm.EXT","ECA232-ECA1133",0.0256629900017312
"698","CRISPR","amsacrine","median.norm.EXT","N2-ECA1133",0.000932207541525676
"699","CRISPR","amsacrine","median.norm.EXT","ECA1135-ECA1134",2.20405138584567e-10
"700","CRISPR","amsacrine","median.norm.EXT","ECA232-ECA1134",3.40617483669536e-05
"701","CRISPR","amsacrine","median.norm.EXT","N2-ECA1134",3.53936619679196e-07
